timestamp_ms,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x,gyro_y,gyro_z
28131674,-9.859322436523437,-0.08140285644531249,0.24899697265624998,152,-74,0
28131672,-9.859322436523437,-0.08140285644531249,0.2537853759765625,152,-75,10
28131682,-9.811438403320311,-0.0430956298828125,0.229843359375,153,-75,10
28131692,-9.830592016601562,-0.047884033203124995,0.1484405029296875,153,-75,10
28131702,-9.80665,-0.0526724365234375,0.201112939453125,152,-75,10
28131712,-9.792284790039062,-0.047884033203124995,0.2059013427734375,152,-74,11
28131722,-9.758765966796874,-0.0909796630859375,0.16280571289062498,152,-75,10
28131732,-9.801861596679688,-0.076614453125,0.258573779296875,153,-75,10
28131742,-9.792284790039062,-0.1292868896484375,0.2346317626953125,153,-75,10
28131752,-9.821015209960937,-0.0718260498046875,0.2346317626953125,153,-75,10
28131762,-9.816226806640625,-0.0526724365234375,0.1771709228515625,152,-75,10
28131772,-9.792284790039062,-0.09576806640624999,0.201112939453125,153,-76,10
28131782,-9.892841259765625,-0.0526724365234375,0.239420166015625,153,-75,10
28131792,-9.835380419921874,-0.09576806640624999,0.22026655273437498,153,-75,11
28131802,-9.849745629882811,-0.062249243164062495,0.229843359375,153,-75,11
28131812,-9.753977563476562,-0.05746083984375,0.2537853759765625,152,-74,10
28131822,-9.715670336914062,-0.06703764648437499,0.1771709228515625,152,-75,11
28131832,-9.835380419921874,-0.08140285644531249,0.19153613281249998,153,-75,11
28131842,-9.849745629882811,-0.1292868896484375,0.2154781494140625,153,-75,10
28131852,-9.835380419921874,-0.08140285644531249,0.2059013427734375,152,-75,10
28131862,-9.811438403320311,-0.05746083984375,0.21068974609375,153,-74,10
28131872,-9.8449572265625,-0.0718260498046875,0.1388636962890625,153,-75,10
28131882,-9.80665,-0.0718260498046875,0.2346317626953125,152,-75,10
28131892,-9.782707983398437,-0.0909796630859375,0.2442085693359375,152,-75,11
28131902,-9.773131176757811,-0.1292868896484375,0.19632453613281248,153,-75,10
28131912,-9.8449572265625,-0.09576806640624999,0.2059013427734375,153,-75,10
28131922,-9.80665,-0.06703764648437499,0.26336218261718747,152,-74,0
28131919,-9.80665,-0.0718260498046875,0.26336218261718747,153,-75,11
28131929,-9.782707983398437,-0.023942016601562498,0.2059013427734375,153,-75,10
28131939,-9.787496386718749,-0.0430956298828125,0.27293898925781246,152,-75,10
28131949,-9.80665,-0.1149216796875,0.229843359375,153,-75,10
28131959,-9.753977563476562,-0.01915361328125,0.229843359375,153,-75,10
28131969,-9.782707983398437,-0.076614453125,0.277727392578125,153,-75,10
28131979,-9.821015209960937,-0.0718260498046875,0.22026655273437498,153,-74,10
28131989,-9.859322436523437,-0.062249243164062495,0.1484405029296875,152,-75,10
28131999,-9.80665,-0.1005564697265625,0.21068974609375,153,-76,11
28132009,-9.849745629882811,-0.0909796630859375,0.1771709228515625,152,-75,10
28132019,-9.849745629882811,-0.076614453125,0.22505495605468748,152,-76,11
28132029,-9.816226806640625,-0.0909796630859375,0.15322890625,153,-75,11
28132039,-9.835380419921874,-0.09576806640624999,0.21068974609375,153,-74,10
28132049,-9.859322436523437,-0.086191259765625,0.2154781494140625,152,-74,10
28132059,-9.816226806640625,-0.1005564697265625,0.19632453613281248,153,-75,11
28132069,-9.797073193359374,-0.0718260498046875,0.2537853759765625,153,-75,10
28132079,-9.816226806640625,-0.12449848632812499,0.26336218261718747,153,-75,10
28132089,-9.782707983398437,-0.0383072265625,0.201112939453125,153,-75,11
28132099,-9.816226806640625,-0.023942016601562498,0.2154781494140625,153,-75,10
28132109,-9.821015209960937,-0.0909796630859375,0.201112939453125,153,-76,10
28132119,-9.835380419921874,-0.086191259765625,0.26336218261718747,153,-75,10
28132129,-9.835380419921874,-0.047884033203124995,0.1580173095703125,152,-75,10
28132139,-9.782707983398437,-0.09576806640624999,0.239420166015625,153,-73,11
28132149,-9.854534033203125,-0.0718260498046875,0.19632453613281248,153,-75,10
28132159,-9.811438403320311,-0.0430956298828125,0.239420166015625,153,-75,10
28132169,-9.787496386718749,-0.11013327636718749,0.19632453613281248,152,-74,0
28132167,-9.787496386718749,-0.1149216796875,0.201112939453125,153,-75,11
28132177,-9.8449572265625,-0.105344873046875,0.19632453613281248,153,-74,11
28132187,-9.849745629882811,-0.0909796630859375,0.2346317626953125,152,-75,10
28132197,-9.8449572265625,-0.08140285644531249,0.1867477294921875,153,-75,10
28132207,-9.830592016601562,-0.047884033203124995,0.1771709228515625,153,-76,10
28132217,-9.82580361328125,-0.0718260498046875,0.229843359375,153,-75,10
28132227,-9.835380419921874,-0.09576806640624999,0.1580173095703125,153,-75,10
28132237,-9.725247143554688,-0.08140285644531249,0.143652099609375,152,-75,11
28132247,-9.797073193359374,-0.023942016601562498,0.21068974609375,153,-76,10
28132257,-9.835380419921874,-0.05746083984375,0.19153613281249998,153,-75,10
28132267,-9.821015209960937,-0.0718260498046875,0.15322890625,153,-76,9
28132277,-9.7683427734375,-0.0526724365234375,0.2059013427734375,153,-75,11
28132287,-9.854534033203125,-0.0909796630859375,0.181959326171875,153,-74,10
28132297,-9.859322436523437,-0.05746083984375,0.1771709228515625,153,-75,10
28132307,-9.811438403320311,-0.047884033203124995,0.19632453613281248,153,-75,10
28132317,-9.801861596679688,-0.09576806640624999,0.1771709228515625,153,-74,10
28132327,-9.840168823242188,-0.13407529296874998,0.1771709228515625,153,-75,11
28132337,-9.840168823242188,-0.08140285644531249,0.22026655273437498,153,-74,10
28132347,-9.787496386718749,-0.0383072265625,0.22026655273437498,152,-75,11
28132357,-9.792284790039062,-0.12449848632812499,0.2154781494140625,153,-75,10
28132367,-9.854534033203125,-0.1005564697265625,0.26336218261718747,153,-75,10
28132377,-9.816226806640625,-0.086191259765625,0.239420166015625,153,-76,10
28132387,-9.797073193359374,-0.023942016601562498,0.19153613281249998,153,-75,10
28132397,-9.787496386718749,-0.1005564697265625,0.2442085693359375,153,-75,11
28132407,-9.80665,-0.08140285644531249,0.19632453613281248,153,-75,11
28132417,-9.777919580078125,-0.0430956298828125,0.1867477294921875,153,-74,0
28132414,-9.777919580078125,-0.0430956298828125,0.1867477294921875,153,-75,10
28132424,-9.777919580078125,-0.0718260498046875,0.17238251953125,153,-74,11
28132434,-9.801861596679688,-0.1197100830078125,0.1867477294921875,152,-74,10
28132444,-9.782707983398437,-0.0909796630859375,0.201112939453125,153,-75,11
28132454,-9.80665,-0.06703764648437499,0.1580173095703125,153,-75,10
28132464,-9.82580361328125,-0.076614453125,0.1867477294921875,153,-76,10
28132474,-9.888052856445311,-0.028730419921875,0.22505495605468748,153,-74,11
28132484,-9.749189160156249,-0.086191259765625,0.17238251953125,153,-75,10
28132494,-9.821015209960937,-0.086191259765625,0.1771709228515625,152,-74,10
28132504,-9.907206469726562,-0.062249243164062495,0.19632453613281248,153,-74,11
28132514,-9.801861596679688,-0.0909796630859375,0.2059013427734375,153,-75,10
28132524,-9.792284790039062,-0.08140285644531249,0.22026655273437498,153,-75,10
28132534,-9.787496386718749,0.009576806640625,0.16280571289062498,153,-75,11
28132544,-9.797073193359374,-0.0526724365234375,0.1771709228515625,152,-75,10
28132554,-9.801861596679688,-0.076614453125,0.24899697265624998,153,-74,11
28132564,-9.797073193359374,-0.1197100830078125,0.1484405029296875,152,-75,10
28132574,-9.859322436523437,-0.062249243164062495,0.2059013427734375,153,-74,10
28132584,-9.797073193359374,-0.033518823242187495,0.19632453613281248,153,-74,10
28132594,-9.797073193359374,-0.1197100830078125,0.2154781494140625,152,-75,10
28132604,-9.849745629882811,-0.0718260498046875,0.201112939453125,153,-75,10
28132614,-9.854534033203125,-0.033518823242187495,0.22505495605468748,153,-74,10
28132624,-9.859322436523437,-0.09576806640624999,0.2154781494140625,153,-75,10
28132634,-9.859322436523437,-0.0526724365234375,0.2154781494140625,152,-75,11
28132644,-9.82580361328125,-0.0383072265625,0.239420166015625,153,-74,10
28132654,-9.792284790039062,-0.0526724365234375,0.2154781494140625,153,-75,11
28132664,-9.763554370117188,-0.047884033203124995,0.1867477294921875,152,-74,0
28132661,-9.763554370117188,-0.0526724365234375,0.1867477294921875,153,-74,11
28132671,-9.782707983398437,-0.0430956298828125,0.2537853759765625,152,-75,10
28132681,-9.830592016601562,-0.06703764648437499,0.201112939453125,152,-74,10
28132691,-9.801861596679688,-0.0143652099609375,0.201112939453125,153,-75,11
28132701,-9.80665,-0.09576806640624999,0.2346317626953125,152,-74,10
28132711,-9.892841259765625,-0.1005564697265625,0.2154781494140625,153,-74,11
28132721,-9.792284790039062,-0.0526724365234375,0.19632453613281248,153,-74,10
28132731,-9.801861596679688,-0.06703764648437499,0.181959326171875,153,-75,10
28132741,-9.797073193359374,-0.0909796630859375,0.239420166015625,153,-75,10
28132751,-9.787496386718749,-0.009576806640625,0.181959326171875,152,-75,10
28132761,-9.792284790039062,-0.1149216796875,0.201112939453125,153,-75,10
28132771,-9.82580361328125,-0.0718260498046875,0.239420166015625,153,-74,10
28132781,-9.821015209960937,-0.1197100830078125,0.201112939453125,152,-75,10
28132791,-9.782707983398437,-0.023942016601562498,0.2346317626953125,153,-75,10
28132801,-9.811438403320311,-0.1005564697265625,0.201112939453125,153,-75,10
28132811,-9.816226806640625,-0.028730419921875,0.22505495605468748,153,-75,10
28132821,-9.849745629882811,-0.0526724365234375,0.2059013427734375,152,-75,11
28132831,-9.816226806640625,-0.0383072265625,0.24899697265624998,153,-75,10
28132841,-9.86411083984375,-0.086191259765625,0.19153613281249998,153,-75,11
28132851,-9.797073193359374,-0.11013327636718749,0.201112939453125,152,-75,10
28132861,-9.763554370117188,-0.0430956298828125,0.201112939453125,153,-75,11
28132871,-9.80665,-0.1149216796875,0.239420166015625,153,-75,11
28132881,-9.811438403320311,-0.1292868896484375,0.239420166015625,153,-74,11
28132891,-9.801861596679688,-0.08140285644531249,0.258573779296875,153,-75,10
28132901,-9.797073193359374,-0.023942016601562498,0.1580173095703125,152,-74,11
28132911,-9.787496386718749,-0.023942016601562498,0.2537853759765625,152,-74,0
28132909,-9.787496386718749,-0.023942016601562498,0.258573779296875,152,-75,10
28132919,-9.792284790039062,-0.09576806640624999,0.19153613281249998,153,-74,10
